Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5
ENSG00000110958,PTGES3,53,-2.0438,187,-0.0018,48,-2.2056,125,-0.6921,522,2.33403
ENSG00000196531,NACA,53,-3.5757,279,-1.0606,162,-1.9187,1301,1.98937,815,0.86085
ENSG00000123384,LRP1,53,-1.3036,12,-3.4838,84,-0.5582,5,-4.7390,424,3.44787
ENSG00000187109,NAP1L1,53,-3.0168,84,-2.3366,584,0.95611,93,-2.1877,974,2.25603
ENSG00000067715,SYT1,52,-2.6234,211,-0.4068,99,-1.6341,5,-5.8087,965,3.38687
ENSG00000058272,PPP1R12A,52,-1.5798,221,0.93514,117,-0.2674,54,-1.5296,237,1.09256
ENSG00000111142,METAP2,53,-1.6191,201,0.66517,132,-0.1208,5,-4.9406,316,1.68620
ENSG00000075415,SLC25A3,1018,2.00894,274,-0.6803,89,-2.4462,295,-0.5545,353,-0.2451
ENSG00000166598,HSP90B1,53,-3.4865,493,0.00400,207,-1.4416,586,0.32495,1119,1.73950
ENSG00000111275,ALDH2,52,-2.2479,207,-0.0184,186,-0.2096,213,0.03805,387,1.23232
ENSG00000089009,RPL6,53,-4.0137,401,-0.9509,297,-1.4291,2007,2.42573,742,0.10631
ENSG00000179295,PTPN11,53,-1.7376,207,0.57595,157,0.05685,15,-3.5766,330,1.60435
ENSG00000089220,PEBP1,1759,1.44706,257,-1.9863,429,-1.1878,149,-2.8059,1744,1.42648
ENSG00000089157,RPLP0,1433,1.38487,321,-1.3623,85,-3.3732,961,0.52724,827,0.24015
ENSG00000111775,COX6A1,52,-2.4660,146,-0.8718,129,-1.0640,142,-0.9121,745,2.66020
ENSG00000088986,DYNLL1,52,-1.8170,12,-3.9198,53,-1.7867,5,-5.1587,669,4.42466
ENSG00000111328,CDK2AP1,53,-1.5487,148,0.16941,110,-0.3627,7,-4.4238,356,2.15908
ENSG00000150991,UBC,1390,0.17141,872,-0.6445,141,-3.4492,2096,0.98644,1828,0.69989
ENSG00000196199,MPHOSPH8,52,-2.7638,168,-0.9585,241,-0.3555,508,1.06949,506,1.06193
ENSG00000150459,SAP18,52,-1.9283,159,-0.1278,98,-0.9485,259,0.79026,288,1.01498
