Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3to4,Feature log2 fold change topic 3to4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9
ENSG00000174307,PHLDA3,10,-3.5427,236,1.33711,110,0.01517,80,-0.4932,42,-1.4626,54,-1.0969,335,2.04805,4,-4.8217
ENSG00000159176,CSRP1,473,0.41757,206,-0.9046,94,-2.2306,833,1.43019,278,-0.4422,681,1.05529,335,-0.1458,307,-0.2855
ENSG00000198892,SHISA4,10,-3.6357,245,1.29094,84,-0.5653,90,-0.4069,56,-1.1228,138,0.28657,335,1.91132,1,-6.4422
ENSG00000134375,TIMM17A,10,-3.6256,194,0.87378,176,0.84249,115,0.00137,21,-2.5981,9,-3.7029,335,1.92535,2,-5.9902
ENSG00000170075,GPR37L1,10,-5.1050,204,-0.7144,60,-2.6967,222,-0.5849,100,-1.7883,355,0.16907,335,0.07387,1536,3.18517
ENSG00000143862,ARL8A,10,-3.9324,263,1.04498,210,0.77002,185,0.42657,36,-2.0908,32,-2.2893,335,1.49685,1,-6.7370
ENSG00000159348,CYB5R1,10,-3.8177,65,-1.1047,247,1.31819,13,-3.4197,18,-2.9927,36,-1.9982,335,1.65191,215,0.82087
ENSG00000163444,TMEM183A,10,-3.4598,157,0.70179,91,-0.2197,66,-0.7071,16,-2.7483,25,-2.1423,335,2.17510,134,0.44063
ENSG00000058668,ATP2B4,10,-4.5723,287,0.42953,233,0.09363,72,-1.7221,38,-2.6567,68,-1.8273,335,0.69144,717,2.16438
ENSG00000182004,SNRPE,10,-3.2425,31,-1.5944,109,0.40087,123,0.54061,13,-2.8919,65,-0.4819,335,2.52764,1,-6.0518
ENSG00000163531,NFASC,633,2.11470,328,0.83149,117,-0.9316,145,-0.5135,69,-1.6330,49,-2.1607,335,0.87183,7,-4.9875
ENSG00000184144,CNTN2,455,1.33037,270,0.40611,69,-1.8651,485,1.44880,156,-0.4826,62,-1.8901,335,0.77369,1,-7.3046
ENSG00000133059,DSTYK,10,-3.4901,169,0.79715,50,-1.2703,79,-0.4615,38,-1.5666,37,-1.5926,335,2.12908,178,0.88580
ENSG00000133069,TMCC2,10,-3.2331,41,-1.1764,85,-0.0618,109,0.35080,43,-1.1074,40,-1.2214,335,2.54201,43,-1.1006
ENSG00000117266,CDK18,10,-3.1494,77,-0.1224,9,-3.5155,204,1.57963,99,0.28809,4,-4.3914,335,2.68947,1,-5.9607
ENSG00000069275,NUCKS1,10,-5.9715,464,-0.3675,373,-0.7858,790,0.50203,602,0.05171,398,-0.6088,335,-0.8737,1907,2.18745
